date,annee,mois,region,marche,categorie,produit,unite,prix_fcfa,source
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Condiments & Épices,Ail,kg,2109,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Fruits,Ananas,pièce,432,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Légumineuses,Arachide,kg,995,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Fruits,Avocat,kg,595,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Bananes & Plantains,Banane dessert,kg,334,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Bananes & Plantains,Banane plantain,régime,1611,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Céréales,Blé,kg,500,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Viandes & Protéines,Bœuf,kg,2226,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Boissons & Cacao,Cacao,kg,1690,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Boissons & Cacao,Café robusta,kg,2613,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Légumes,Carotte,kg,523,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Légumes,Choux,pièce,486,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Viandes & Protéines,Chèvre,kg,3299,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Poissons & Fruits de mer,Crevettes sèches,kg,4352,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Viandes & Protéines,Escargot,kg,1192,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Farines & Dérivés,Farine de blé,kg,538,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Farines & Dérivés,Farine de maïs,kg,400,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Légumes,Feuilles d'okok,botte,265,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Légumes,Feuilles de manioc,botte,162,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Farines & Dérivés,Gari (farine de manioc),kg,322,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Condiments & Épices,Gingembre,kg,1057,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Légumes,Gombo (okra),kg,219,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Légumineuses,Haricot sec,kg,875,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Huiles & Matières grasses,Huile de palme,litre,837,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Huiles & Matières grasses,Huile végétale raffinée,litre,1074,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Tubercules,Igname,kg,298,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Tubercules,Macabo (taro),kg,241,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Fruits,Mangue,kg,259,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Tubercules,Manioc cossette,kg,166,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Tubercules,Manioc frais,kg,149,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Poissons & Fruits de mer,Maquereau frais,kg,1506,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Céréales,Maïs blanc,kg,207,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Céréales,Maïs jaune,kg,197,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Céréales,Millet,kg,288,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Viandes & Protéines,Mouton,kg,3407,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Légumineuses,Niébé (haricot),kg,779,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Légumes,Oignon,kg,771,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Condiments & Épices,Oignon séché,kg,689,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Fruits,Orange,kg,440,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Fruits,Papaye,kg,191,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Fruits,Pastèque,kg,189,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Tubercules,Patate douce,kg,171,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Légumes,Piment frais,kg,806,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Légumineuses,Pois jaune,kg,626,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Tubercules,Pomme de terre,kg,390,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Viandes & Protéines,Porc,kg,2614,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Viandes & Protéines,Poulet,kg,2173,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Huiles & Matières grasses,Pâte d'arachide,kg,1519,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Céréales,Riz importé long grain,kg,553,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Céréales,Riz local,kg,510,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Poissons & Fruits de mer,Sardine,kg,820,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Condiments & Épices,Sel,kg,284,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Poissons & Fruits de mer,Silure (poisson-chat),kg,1561,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Légumineuses,Soja,kg,502,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Céréales,Sorgho blanc,kg,225,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Céréales,Sorgho rouge,kg,262,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Nyambaka,Condiments & Épices,Sucre raffiné,kg,753,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Somie,Farines & Dérivés,Tapioca,kg,299,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché de Tibati,Boissons & Cacao,Thé,kg,2164,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Poissons & Fruits de mer,Tilapia frais,kg,1507,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Poissons & Fruits de mer,Tilapia fumé,kg,2474,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché centrale de Ngaoundéré,Légumes,Tomate,kg,612,WFP/AgriPulse
2019-01-01,2019,1,Adamaoua,Marché à bétail de Ngaoundéré,Viandes & Protéines,Wagashi (fromage),kg,1173,WFP/AgriPulse
